study_id,title,authors,year,venue,doi_or_url,publication_type,peer_reviewed,formal_corpus_role,transportation_scope,task_stage,learned_component,road_context,agent_types,input_modalities,output_object,risk_sources,shift_construction,shift_realism,shift_detectable,safety_consequence,signal_risk_relation_level,monitoring_horizon,risk_label_source,method_category,uncertainty_output,uncertainty_type,uncertainty_provenance,risk_definition,loss_function,calibration_target,decision_relevance_primary,decision_mechanisms,operational_threshold,feedback_availability,guarantee_target,statistical_guarantee_type,statistical_guarantee_strength,formal_control_guarantee,guarantee_scope,guarantee_violation_tested,under_shift_validity,claim_status,intervention_primary,intervention_secondary,trigger_rule,fallback_policy,intervention_cost,online_latency,transportation_impact,datasets_simulator,predictive_metrics,calibration_metrics,safety_metrics,utility_metrics,boundary_decision
REC-83E9013CBB0A,A Generalized Control Revision Method for Autonomous Driving Safety,"Zhu, Zehang; Wang, Yuning; Ke, Tianqi; Han, Zeyu; Xu, Shaobing; Xu, Qing; Dolan, John M.; Wang, Jianqiang",2025,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra55743.2025.11128206,Conference paper,yes,contextual,single vehicle; vehicle-vehicle,planning-to-control interface,planner plus CBF revision module,urban; highway; mixed,vehicle; obstacles,state; vector obstacles; occupancy grid; road boundary,revised longitudinal/lateral control,sensor_or_perception_error outside guarantee; model_misspecification,CARLA/SUMO/OnSite/physical scenarios,synthetic; controlled real,no,collision; road-boundary violation,formal-quantitative,continuous control horizon; no advance risk alarm,barrier constraints from obstacles and road boundary,formal_or_reachability_bound,barrier margin/control,NA:not probabilistic,not-applicable,violation of obstacle/road barrier,NR:risk or safety loss not explicitly reported,constraint satisfaction,constraint-or-cost,post-planner barrier revision,CBF-QP revises nominal control when constraints bind,state feedback; no risk-label update,obstacle/road barrier set,none,G0,conditional-invariance,ego control constraints,yes:multiple simulators and physical platform,no,not-applicable,control_revision,cbf_filter,barrier constraints bind after nominal planner,nominal planner remains backbone; revision handles constraints,minimal control revision claimed; comfort not fully quantified,NR:runtime described as online but exact latency absent,accidents/responsibility and lateral deviation; no network flow,CARLA; SUMO; OnSite; MCCT scaled vehicle,trajectory deviation,none,accidents; responsible accidents; boundary violation,route performance NR,contextual
REC-84D3FCDBB0C2,Evaluating Scenario-Based Decision-Making for Interactive Autonomous Driving Using Rational Criteria: A Survey,"Tian, Zhen; Lin, Zhihao; Zhao, Dezong; Zhao, Wenjing; Flynn, David; Ansari, Shuja; Wei, Chongfeng",2026,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,10.1109/tits.2025.3636070,Article,yes,contextual,traffic-system; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface; policy-learning,policy,highway; urban; intersection,vehicle; vessel; heterogeneous,NR:input modality not reported in extracted evidence,action,environmental_shift; weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,reported,collision; reward-or-cost,formal_or_reachability_bound,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The paper does not present a specific uncertainty/risk/failure signal; it is a survey that systematically reviews existing DRL-based decision-making methods for autonomous driving across four scenarios (highways, on-ramp merging, roundabouts, unsignalized intersections).",reported,trajectory; collision,none,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,CARLA; INTERACTION,NR:predictive metrics not extracted,NA:no calibration metrics,collision; TTC/min-distance,efficiency/travel-time; comfort; reward/return,contextual
REC-85455E053DAA,Situation-Aware Drivable Space Estimation for Automated Driving,M. Muñoz Sánchez; D. Pogosov; E. Silvas; D. C. Mocanu; J. Elfring; R. van de Molengraft,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2022.3160829,IEEE Journals,yes,contextual,vehicle-pedestrian; traffic-system; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,world-model,intersection,vehicle; pedestrian; heterogeneous,trajectory; map; image; LiDAR,NR:output object not explicit,weather_or_visibility; sensor_or_perception_error,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,reported,NR:risk label source not explicitly reported,probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The signal is a probabilistic drivable-space graph (SDS) with uncertainty probabilities (p_e for existence, p_d for drivability), estimated from semantic object detections and domain knowledge via graph-based SLAM.",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,monitoring-only,none,NR:operational threshold not reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,warning_only,continuous constraint-or-cost,emergency braking/stop,reported,NR:end-to-end online latency not reported,reported,Waymo; CARLA; Lyft,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; comfort; reward/return,contextual
REC-86CED6841598,NR-RRT: Neural Risk-Aware Near-Optimal Path Planning in Uncertain Nonconvex Environments,"Meng, Fei; Chen, Liangliang; Ma, Han; Wang, Jiankun; Meng, Max Q.-H.",2024,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,10.1109/tase.2022.3215562,Article,yes,contextual,general-autonomous-system,perception-interface; planning; control-interface; policy-learning,policy,NR:road context not specified,vehicle; robot; heterogeneous,state,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,learned-correlation,NR:actionable monitoring horizon not reported,reward-or-cost,probabilistic_model,distribution; bound-or-constraint,unspecified,learned-parametric,"A neural sampler consumes risk contours and a probabilistic risk bound to alter RRT path selection, giving direct transfer value, but the environment is generic non-road planning without traffic validation.",NR:risk or safety loss not explicitly reported,collision,constraint-or-cost,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,fixed-or-conditioned-threshold; see intervention evidence,replanning,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,completion/success; efficiency/travel-time; reward/return,contextual
REC-870B583097C6,How Far Ahead Should Autonomous Vehicles Start Resolving Predicted Conflicts? Exploring Uncertainty-Based Safety-Efficiency Trade-Off,"Li, Guopeng; Li, Zirui; Knoop, Victor Lambert; Lint, J.W.C. Van",2024,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,10.1109/tits.2024.3393641,Article,yes,contextual,traffic-system; road-autonomous-driving,motion-forecasting; planning; policy-learning,predictor,urban; intersection; mixed,vehicle; vessel; heterogeneous,NR:input modality not reported in extracted evidence,NR:output object not explicit,weather_or_visibility; epistemic_uncertainty; aleatoric_uncertainty,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,reported,NR:risk label source not explicitly reported,probabilistic_model,distribution,aleatoric; epistemic,model-output-score,"The signal is the spatial probability distribution from a continuous-time learned motion prediction model (deep learning, Section III), which predicts where a conflicting vehicle may be at any horizon t ∈ (0,T]. The paper uses this to compute the ""preoccupied area"" A(Tc) and derive driver space (Section IV-A).",reported,NA:no explicit calibration target,monitoring-only,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,warning_only,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,reported,nuScenes; Waymo; Argoverse; INTERACTION,accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,efficiency/travel-time; comfort,contextual
REC-87FD53E96104,Safety Testing of Automated Driving Systems: A Literature Review,"Khan, Fauzia; Falco, Mariana; Anwar, Hina; Pfahl, Dietmar",2023,IEEE ACCESS,10.1109/access.2023.3327918,Article,yes,contextual,vehicle-pedestrian; road-autonomous-driving,perception-interface; planning; control-interface,NA:no learned component clearly identified,parking,vehicle; pedestrian; cyclist; heterogeneous,NR:input modality not reported in extracted evidence,action; warning-or-alarm,weather_or_visibility; long_tail_scenario,online temporal change; adversarial construction,synthetic; adversarial,no,collision; off-road-or-boundary,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"No uncertainty/risk signal is presented — the paper surveys safety testing approaches (on-road, simulation, scenario-based) and techniques (formal verification, adversarial testing, etc.) applied to ADS safety features such as Collision Avoidance, Lane Departure Warning, and Emergency Braking.",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,none,discrete-trigger,NA:no runtime intervention,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,Waymo; CARLA; KITTI; INTERACTION; NGSIM,accuracy/AUROC,ECE,NR:safety metrics not extracted,efficiency/travel-time,contextual
REC-9071FA6557C6,Probabilistic Risk Metric for Highway Driving Leveraging Multi-Modal Trajectory Predictions,"Wang, Xinwei; Alonso-Mora, Javier; Wang, Meng",2022,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,10.1109/tits.2022.3164469,Article,yes,contextual,vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; behavior-prediction; motion-forecasting; risk-monitoring; planning,predictor; risk-monitor,highway; urban; intersection,vehicle; robot; heterogeneous,NR:input modality not reported in extracted evidence,risk-score; action; warning-or-alarm,weather_or_visibility; long_tail_scenario,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,reported,collision; TTC,generative_or_diffusion; failure_prediction; probabilistic_model,variance; distribution; probability,unspecified,model-output-score,The signal is a risk value intended to indicate whether the subject vehicle's planned trajectory remains safe.,NR:risk or safety loss not explicitly reported,trajectory; collision,monitoring-only,discrete-trigger,reported,NR:feedback timing not reported,collision-risk,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,emergency_braking,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION; NGSIM; HighD,ADE; FDE; NLL; accuracy/AUROC,Brier/NLL,TTC/min-distance,efficiency/travel-time,contextual
REC-945A0D91C7D6,Pedestrian and vehicle behaviour prediction in autonomous vehicle system — A review,Luiz G. Galvão; M. Nazmul Huda,2024,Expert Syst. Appl.,10.1016/j.eswa.2023.121983,Journal Article,yes,contextual,vehicle-pedestrian; traffic-system; road-autonomous-driving,perception-interface; behavior-prediction; motion-forecasting; control-interface,NA:no learned component clearly identified,intersection,vehicle; pedestrian; cyclist; heterogeneous,image,action,model_misspecification,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,This is a literature review paper that surveys existing algorithms for pedestrian and vehicle behaviour prediction (trajectory and intention) in autonomous driving; it does not present a novel uncertainty/risk signal. Section 6.2 discusses risk assessment at the framework level (fault tree analysis for the behaviour prediction system) but no specific risk/uncertainty signal is proposed or evaluated.,NR:risk or safety loss not explicitly reported,trajectory,none,none,NA:no runtime intervention,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,reported at PDF p. 7: Computation time: 0.29 s,reported,Waymo; INTERACTION; NGSIM,ADE; FDE; accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,comfort,contextual
REC-95D202332013,Optimization-based Approaches for Traffic and Fleet Management of Connected and Autonomous Vehicles: A Systematic Literature Review,"Nisyrios, Emmanouil; Gkiotsalitis, Konstantinos",2025,International Journal of Intelligent Transportation Systems Research,10.1007/s13177-025-00536-2,Article,yes,contextual,vehicle-pedestrian; traffic-system; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,policy; uncertainty-estimator,highway; urban; intersection; mixed,vehicle; pedestrian; cyclist; heterogeneous,V2X,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"This paper is a systematic literature review (not a primary research paper) that surveys optimization-based approaches for CAV traffic and fleet management. It does not present any uncertainty/risk/failure signal of its own, nor does it implement a learned prediction/planning/policy/risk component that is consumed by a planner/decision-maker to change constraints or actions. No safety/task consequences of any specific method are evaluated — only reviewed from other studies. As a prior review mapping the interface o",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,none,none,NA:no runtime intervention,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,reported at PDF p. 2: latency ranging from 50 to 150 ms,reported,SUMO; NGSIM; Shifts,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; comfort,contextual
REC-962B5D27BF19,Human motion trajectory prediction: a survey,"Rudenko, Andrey; Palmieri, Luigi; Herman, Michael; Kitani, Kris M; Gavrila, Dariu M; Arras, Kai O",2020,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,10.1177/0278364920917446,Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; mobile-robot-or-general-robotics; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface; policy-learning,policy,urban,vehicle; pedestrian; cyclist; robot; heterogeneous,image; V2X,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,reported,NR:risk label source not explicitly reported,probabilistic_model,distribution,unspecified,model-output-score,"The ""signal"" is not a specific uncertainty/risk/consumed signal — the paper reviews prediction outputs (trajectories, goal intentions, interaction-aware forecasts) but does not present or evaluate a specific learned risk or uncertainty signal that is consumed by a planner/decision-maker.",reported,trajectory,none,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,KITTI; INTERACTION; NGSIM,ADE; FDE; NLL; accuracy/AUROC,Brier/NLL,NR:safety metrics not extracted,efficiency/travel-time; comfort,contextual
REC-97BBABCF38F6,Sensor Fusion Models in Autonomous Systems: A Review,"Mittal, Sangeeta; Gupta, Chetna; Gupta, Varun",2026,CMC-COMPUTERS MATERIALS & CONTINUA,10.32604/cmc.2025.071599,Review,yes,contextual,road-autonomous-driving,perception-interface; planning; control-interface,NA:no learned component clearly identified,NR:road context not specified,vehicle; robot; heterogeneous,image; LiDAR; radar; V2X,NR:output object not explicit,cross_city_or_domain; weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"This is a general review/survey paper on sensor fusion models in autonomous systems. It does not present a specific uncertainty/risk signal. It broadly surveys sensor fusion methods across four decades (1990s–2025), including probabilistic inference, Kalman/particle filtering, Dempster–Shafer theory, neural networks, and deep learning approaches. It discusses JDL Level 3 impact/threat assessment involving ""risk prediction"" and ""decision support"", and notes that higher-level",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,none,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,nuScenes; Argoverse; INTERACTION,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time,contextual
REC-983FD79D8A93,Uncertainty Quantification for Safety of the Intended Functionality of Autonomous Driving: A Comprehensive Survey,"Wang, Ke; Ma, Qi; Jiang, Yuhao; Lu, Jianbo",2025,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,10.1109/tim.2025.3602549,Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; unmanned-surface-vessel; road-autonomous-driving,perception-interface; planning; control-interface,NA:no learned component clearly identified,urban,vehicle; pedestrian; vessel; heterogeneous,image,warning-or-alarm,weather_or_visibility; long_tail_scenario; sensor_or_perception_error,online temporal change,natural,yes,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The ""signal"" reviewed is uncertainty quantification — probabilistic methods, OOD detection, Dirichlet networks, spatial feature theories, and uncertainty decomposition — applied to perception tasks (object detection, semantic segmentation).",reported,NA:no explicit calibration target,none,discrete-trigger,NA:no runtime intervention,delayed observed outcome,detection-alarm,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,NR:dataset or simulator not extracted,accuracy/AUROC,ECE,NR:safety metrics not extracted,efficiency/travel-time,contextual
REC-994CC298B0A3,A Survey of Autonomous Driving: Common Practices and Emerging Technologies,"Yurtsever, Ekim; Lambert, Jacob; Carballo, Alexander; Takeda, Kazuya",2020,IEEE ACCESS,10.1109/access.2020.2983149,Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; road-autonomous-driving,perception-interface; planning; control-interface,NA:no learned component clearly identified,highway; urban; parking; unstructured,vehicle; pedestrian; cyclist; robot; vessel; heterogeneous,image; LiDAR,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision; off-road-or-boundary,qualitative-narrative,reported,collision,probabilistic_model,distribution,unspecified,model-output-score,"What the signal is: This paper is a broad survey of autonomous driving systems. Section VI.A (""Risk and Uncertainty Assessment,"") reviews prior work on quantifying uncertainties and risk levels of driving scenes, including Bayesian deep learning for propagating probability distributions through an ADS pipeline [31], and external risk inference frameworks using HMMs and deep spatiotemporal networks [83, 211, 213].",NR:risk or safety loss not explicitly reported,collision,none,none,NA:no runtime intervention,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,nuScenes; Waymo; CARLA; CommonRoad; SUMO; KITTI; BDD100K; INTERACTION,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; comfort,contextual
REC-9C59C0230BD4,Unravelling uncertainty in trajectory prediction using a non-parametric approach,"Li, Guopeng; Li, Zirui; Knoop, Victor L.; van Lint, Hans",2024,Transportation Research Part C: Emerging Technologies,10.1016/j.trc.2024.104659,Article,yes,contextual,traffic-system; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface; policy-learning,predictor; uncertainty-estimator,intersection,vehicle,image; LiDAR; radar,NR:output object not explicit,weather_or_visibility; interaction_uncertainty; long_tail_scenario; epistemic_uncertainty; aleatoric_uncertainty,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,empirical-validated,reported,NR:risk label source not explicitly reported,deep_ensemble,distribution,aleatoric; epistemic,ensemble-derived,aleatoric uncertainty (conditional differential entropy) and epistemic uncertainty (mutual information) from the deep ensemble trajectory predictor.,reported,trajectory,monitoring-only,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,warning_only,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,reported,nuScenes; Waymo; Argoverse; INTERACTION,FDE; NLL; accuracy/AUROC,Brier/NLL,NR:safety metrics not extracted,efficiency/travel-time,contextual
REC-9D9266390296,Motion Planning Under Uncertainty with Complex Agents and Environments via Hybrid Search,"Strawser, Daniel; Williams, Brian",2022,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,10.1613/jair.1.13361,Article,yes,contextual,road-autonomous-driving,planning; control-interface,planner,urban,vehicle; robot; heterogeneous,NR:input modality not reported in extracted evidence,risk-score; safety-constraint,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision; task-failure,learned-correlation,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,probabilistic_model,distribution; probability; bound-or-constraint,unspecified,model-output-score,"The uncertainty/risk signal is the chance constraint (risk bound ε), a user-specified bound on the probability of mission failure that the planner must respect. The paper develops three risk models: a CDF-based model (Section 7), a sampling-based collocation method (Section 8), and Shooting Method Monte Carlo (Section 9).",NR:risk or safety loss not explicitly reported,constraint,constraint-or-cost,continuous-constraint,reported,delayed observed outcome,constraint-satisfaction,none,G0,chance-constrained-control,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,chance-constraint,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,accuracy/AUROC,NA:no calibration metrics,intervention/failure,efficiency/travel-time; reward/return,contextual
REC-9DC82EA7E66A,Information fusion for online estimation of the behavior of traffic participants using belief function theory,"Benciolini, Tommaso; Zhang, Xuhui; Wollherr, Dirk; Leibold, Marion",2023,Frontiers in Future Transportation,10.3389/ffutr.2023.1216527,Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface; policy-learning,predictor; policy,urban,vehicle; pedestrian; cyclist; heterogeneous,trajectory; image; radar; V2X,safety-constraint,weather_or_visibility; sensor_or_perception_error; epistemic_uncertainty,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,yes,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,epistemic,not-applicable,"The signal is a combined belief-function opinion (belief masses + uncertainty) about candidate intended behaviors of traffic participants (e.g., right turn, straight, left turn), produced by fusing information from multiple sources using BFT (PDF_PAGE 3–5).",NR:risk or safety loss not explicitly reported,trajectory,monitoring-only,continuous-constraint,NR:operational threshold not reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,mpc_filter,continuous constraint-or-cost,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,SUMO; INTERACTION,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,reward/return,contextual
REC-9F3F4762676B,Towards Safe Autonomous Driving: Decision Making with Observation-Robust Reinforcement Learning,"He, Xiangkun; Lv, Chen",2023,Automotive Innovation,10.1007/s42154-023-00256-x,Article,yes,contextual,traffic-system; road-autonomous-driving,perception-interface; control-interface; policy-learning,policy,highway; urban; intersection,vehicle,NR:input modality not reported in extracted evidence,action,weather_or_visibility; sensor_or_perception_error; malicious_or_untrusted_information,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,not-applicable,NR:actionable monitoring horizon not reported,reward-or-cost,probabilistic_model,distribution,unspecified,model-output-score,"Observation-robust RL trains against an adversarially perturbed observation and constrains policy divergence, but at runtime it does not estimate or consume a separate risk/uncertainty/failure signal that changes candidate actions or triggers intervention.",reported,NA:no explicit calibration target,none,discrete-trigger,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,SUMO,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; reward/return,contextual
REC-A11DB2CAADE7,Modeling and Verification of Autonomous Driving Systems under Stochastic Spatio-Temporal Constraints,"Wang, Mengyuan; Li, Tengfei; Liu, Jing; Dou, Hui; Chen, Hongtao; Zhang, John; Zhang, Lipeng",2023,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",10.18293/seke2023-221,Conference paper,yes,contextual,traffic-system; road-autonomous-driving,control-interface,NA:no learned component clearly identified,intersection,vehicle; vessel; heterogeneous,NR:input modality not reported in extracted evidence,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,probabilistic_model,distribution,unspecified,model-output-score,"The signal is a rule/formal-model-derived spatio-temporal classification: turn safe, turn risk, or turn danger, based on spatial-event constraints and stochastic timing. It does change action: the modeled controller continues normally for safe turns, accelerates to exit a risk state, or slows/stops for danger; signals are sent to the controller. Safety/task evaluation consists of UPPAAL-SMC verification of timing/spatial requirements and probability intervals for reaching the decision state. However, the supplied t",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,constraint-or-cost,none,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,NR:intervention cost not reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,reward/return,contextual
REC-A6A1BB6B5AC7,Traffic-Rule-Compliant Trajectory Repair via Satisfiability Modulo Theories and Reachability Analysis,"Lin, Yuanfei; Xing, Zekun; Han, Xuyuan; Althoff, Matthias",2025,IEEE Transactions on Robotics,10.1109/tro.2025.3613550,Article,yes,contextual,vehicle-vehicle; road-autonomous-driving,planning; control-interface; policy-learning,policy; uncertainty-estimator,intersection,vehicle; robot; heterogeneous,state,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,reported,NR:risk label source not explicitly reported,formal_or_reachability_bound; probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The runtime signal is STL/model-predictive robustness (with a GP regression model trained for online robustness computation) plus time-to-violation/time-to-comply; it is consumed by the SMT repair process to select propositions/maneuvers and generate a repaired trajectory, e.g., braking to restore safe-distance/speed-limit compliance. This directly changes the trajectory/action at runtime. Safety/task evaluation includes rule-compliance verification, 150 road scenarios, CARLA closed-loop simulations, and a real veh",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,constraint-or-cost,none,NR:operational threshold not reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,reachability,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,replanning,reported,reported at PDF p. 12: runtime performance between our approach and MICP-based and sampling-based replanning over 150 s,NR:transportation-system impact not reported,CARLA; CommonRoad; HighD,accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,completion/success; efficiency/travel-time; comfort; reward/return,contextual
